Recorder,EntregaLagunaGrande,EntregaLagunaChica,EvapLagunaChica,EntradaLagunaChica ,LagunaChicaStorage,EvapLagunaGrande,EntradaLagunaGrande,LagunaGrandeStorage,EvapSantaJuana,EntradaSantaJuana,rStaJuanaAbajo,InfSantaJuana,SantaJuanaStorage
2002-03,0.0,8.223874256482641e-20,0.0010340831345881261,0.000597317966353782,3482961.094204546,0.002018888666308572,0.0011857568950001225,6962622.0510628,0.24287112781889988,3.8706503760000004,4.059317763959561,0.02761712734970059,136818949.86124372
2002-04,0.0,-4.1119371282413203e-20,0.0027436122942683565,0.0041901550516035965,3486710.533031559,0.005641942432003017,0.008318152008927389,6969558.786286188,0.1505044318078414,3.7931307700000003,3.6944679399039093,0.027410251240473464,136855652.96239156
2002-05,0.044084565275234466,0.023218419507291366,0.001153287169889019,0.02933342522871896,3500000.0,0.002777029909227268,0.05822704235957058,7000000.0,0.10893079471658178,5.449610836782525,5.029675453950795,0.027417604324419705,138011529.83097664
2002-06,0.002881588688167001,0.0014508731181176572,0.0,0.001450873118117658,3500000.0,0.0,0.0028815886881671787,7000000.0,0.09503947300892163,5.6933188918062845,5.476033092214132,0.027649172213247242,138959087.67110363
2002-07,0.032843285580788854,0.01653651694133213,0.0,0.016536516941332135,3500000.0,0.0,0.03284328558078868,7000000.0,0.11060503183791874,7.44310365552212,6.308473062156189,0.027839005554967097,142514327.68182182
2002-08,0.016176374470637543,0.008144766449295297,6.20059824238221e-11,0.008144766511301282,3500000.0,1.2315049146612487e-10,0.016176374593788116,7000000.0,0.1465731066943717,10.15529369391993,5.615214592658559,0.02855126085302924,155479057.88700134
2002-09,0.0016210212715412598,0.0008161803925846759,0.0,0.0008161803925846759,3500000.0,0.0,0.001621021271541074,7000000.0,0.1946694762466092,9.770468801664128,6.331525685570568,0.031148609484555237,165233671.53370067
2002-10,0.0007987126376570409,0.001147663174186621,0.0,0.0011476631741866087,3500000.0,0.0014806687770686114,0.002279381414725462,7000000.0,0.25564810660465176,22.09033992881185,20.56218366003558,0.033102844706218194,169880000.0
2002-11,0.0,1.3526628377062649e-15,0.008701247552521683,0.0001958791232514969,3477954.0850313283,0.018469733376983554,0.0003890368211811095,6953134.83452736,0.30233836007827763,34.397560000000006,34.525992951712205,0.03403368820952083,169880000.0
2002-12,0.0,-1.868464231072856e-15,0.007534439490187365,0.0038580691062803318,3468107.2945950767,0.011355280004564232,0.007659481478719942,6943236.007755739,0.36159060150065364,37.30683405300001,37.321784763289834,0.03403368820952083,169880000.0
