"Transmission Link","Transmission Link from AC1 to EVT1","Transmission Link from AC2 to EVT2","Transmission Link from Embalse Santa Juana to DDAEmbalse","Transmission Link from Withdrawal Node 1 to CanalZR1_1","Transmission Link from Withdrawal Node 16 to CanalZR4_2","Transmission Link from Withdrawal Node 17 to CanalZR4_1","Transmission Link from Withdrawal Node 2 to CanalZR1_2","Transmission Link from Withdrawal Node 22 to CanalZR5","Transmission Link from Withdrawal Node 23 to ZR5_notec","Transmission Link from Withdrawal Node 24 to ZR5_tec","Transmission Link from Withdrawal Node 29 to CanalZR8","Transmission Link from Withdrawal Node 7 to CanalZR2_1","All Others (59)"
"1 Sep 2001",2.08925,2.0225,0.258229,0.388501,0.728865,0.31396,0.211419,2.3171,1.06625,0.548672,0.779665,0.887277,3.52801
"1 Oct 2001",2.33166,2.12952,0.424586,0.42169,0.613488,0.340782,0.22948,2.77014,1.38451,0.712478,0.846271,0.963077,4.37645
"1 Nov 2001",2.85392,2.59666,0.642404,0.470807,0.728447,0.380475,0.256209,3.12415,1.52509,0.817747,0.944843,1.07525,5.32809
"1 Dec 2001",3.413,3.01726,0.702062,0.579928,0.705393,0.46866,0.315592,3.84474,1.89244,0.97382,1.16383,1.32447,6.61832
"1 Jan 2002",3.6015,3.15958,0.868906,0.488409,0.70537,0.3947,0.265788,3.22762,1.55387,0.818922,0.980166,1.18125,6.06167
"1 Feb 2002",3.33679,3.03146,0.924233,0.471672,0.780942,0.381174,0.25668,3.00231,1.45615,0.75277,0.946578,1.08901,5.67592
"1 Mar 2002",2.53673,2.39613,0.683942,0.379772,0.655036,0.306907,0.206669,2.42444,1.15849,0.631347,0.762148,0.867342,4.5957
"1 Apr 2002",2.23016,2.19486,0.674287,0.37663,0.679822,0.304367,0.204959,2.2463,0.863566,0.444377,0.755843,0.860167,3.43517
"1 May 2002",2.53442,2.27264,0.435511,0.587079,0.544352,0.474439,0.319484,3.50146,0.310511,0.159784,1.17818,1.3408,2.5522
"1 Jun 2002",3.33941,2.5566,0.0891691,0.636757,0.590414,0.514585,0.346518,3.79775,0.465575,0.239577,1.27788,1.45426,3.19601
"1 Jul 2002",3.36709,2.33008,0.225642,0.760761,0.705393,0.614797,0.414,4.53734,0.364873,0.187758,1.52674,1.73746,3.2873
"1 Aug 2002",4.2536,2.63128,0.192,0.760761,0.705393,0.614797,0.414,4.53734,0.440925,0.226893,1.52674,1.73746,3.60951
"1 Sep 2002",5.87324,3.57262,0.146446,0.78612,0.728906,0.63529,0.4278,4.68858,1.08769,0.559709,1.57763,1.79538,4.94635
"1 Oct 2002",6.88968,5.42232,0.452417,0.760761,0.705393,0.614797,0.414,4.53734,1.43179,0.736777,1.52674,1.73746,5.57749
"1 Nov 2002",8.10142,8.15846,0.663043,0.78612,0.728906,0.63529,0.4278,4.68858,1.66606,0.857328,1.57763,1.79538,6.37337
"1 Dec 2002",8.68441,9.53915,0.733096,0.760761,0.705393,0.614797,0.414,4.53734,1.84247,0.948105,1.52674,1.73746,6.95859
"1 Jan 2003",9.43785,9.79208,0.842891,0.760761,0.705393,0.614797,0.414,4.53734,1.65756,0.852951,1.52674,1.73746,6.84211
"1 Feb 2003",8.24495,8.87006,0.909432,0.842271,0.780971,0.680668,0.458357,5.02348,1.51624,0.780231,1.69032,1.92362,6.64988
"1 Mar 2003",5.38512,6.29642,0.666763,0.760761,0.705393,0.614797,0.414,4.53734,1.31149,0.674869,1.52674,1.73746,5.73695
"1 Apr 2003",4.09396,5.17893,0.683986,0.78612,0.728906,0.63529,0.4278,4.68858,1.00689,0.51813,1.57763,1.79538,5.02221
"1 May 2003",3.2401,4.12753,0.465096,0.703248,0.705393,0.568318,0.382702,4.19431,0.792272,0.40769,1.41132,1.60611,3.90176
"1 Jun 2003",3.14833,3.70713,0.35412,0.645011,0.678264,0.521255,0.35101,3.84698,0.65932,0.339275,1.29445,1.47311,3.61937
"1 Jul 2003",2.75801,3.09305,0.317936,0.568441,0.694263,0.459376,0.309341,3.3903,0.677616,0.34869,1.14078,1.29823,3.29656
"1 Aug 2003",2.59681,2.75565,0.314589,0.527588,0.705363,0.426362,0.287109,3.14664,0.840477,0.432496,1.05879,1.20493,3.3894
"1 Sep 2003",2.57071,2.6283,0.39542,0.50634,0.728879,0.40919,0.275546,3.01991,1.04656,0.53854,1.01615,1.1564,4.08146
"1 Oct 2003",2.96588,2.63682,0.445722,0.589134,0.705393,0.476099,0.320602,3.51371,1.41466,0.727961,1.41218,1.34549,5.05607
